,0
AQHI,0.21858936847229637
AQHI_lag1,0.14137478230336276
AQHI_lag2,0.11642960927405667
PM25,0.09594171084082785
AQHI_lag12,0.07861142297181142
AQHI_lag3,0.0777050902260095
AQHI_lag6,0.03905726854776041
sin_hour,0.038901131126289554
AQHI_change_1h,0.0366244044270998
AQHI_lag24,0.03144060035852097
O3,0.024835456313134236
AQHI_change_3h,0.024113274014728032
TEMP,0.015602593523421818
sin_doy,0.012820628547082692
cos_doy,0.011787641914071006
NO2,0.009483665381099834
RH,0.008011367111925686
cos_hour,0.00687122100905599
lat_norm,0.002668771115312428
U,0.0025638397450331476
V,0.0025066098981609665
WS,0.0016434827053790383
dist_center,0.0012983712444938165
lon_norm,0.0011176889290659573
